zip code,Student Teacher Ratio,schooltype,Graduation Rate,Pass Reading,Pass math,Pass Science,size rank,price,bedroom,Nielson household rank,hotness rank,supply score,demand score,median days on market
64070,12.8,Regular School District,97.78,67.3,47.7,51.7,9283,203900,3,15934,6625,31.78596,83.38875,78
64116,15.8,Regular School District,97.5,69.4,60.6,64.1,3600,115400,2,6097,2047,75.25877,89.21021,40
64116,15.8,Regular School District,97.5,69.4,60.6,64.1,4037,286100,4,6097,2047,75.25877,89.21021,40
64116,15.8,Regular School District,97.5,69.4,60.6,64.1,4132,150900,3,6097,2047,75.25877,89.21021,40
64075,14.5,Regular School District,95.6,71.8,50.8,56.4,5427,106800,2,9031,5820,53.84857,69.61922,55
64075,14.5,Regular School District,95.6,71.8,50.8,56.4,6091,228200,4,9031,5820,53.84857,69.61922,55
64075,14.5,Regular School District,95.6,71.8,50.8,56.4,6307,139000,3,9031,5820,53.84857,69.61922,55
64133,14.8,Regular School District,83.09,50.7,27.4,41,1207,164300,5,2272,1299,88.27552,85.91055,31
64133,14.8,Regular School District,83.09,50.7,27.4,41,1252,83800,2,2272,1299,88.27552,85.91055,31
64133,14.8,Regular School District,83.09,50.7,27.4,41,1402,156200,4,2272,1299,88.27552,85.91055,31
64133,14.8,Regular School District,83.09,50.7,27.4,41,1431,122500,3,2272,1299,88.27552,85.91055,31
64089,15.9,Regular School District,94.92,68.7,54.6,63.7,5249,174200,2,8785,2286,72.76206,88.81501,42
64089,15.9,Regular School District,94.92,68.7,54.6,63.7,5886,288500,4,8785,2286,72.76206,88.81501,42
64089,15.9,Regular School District,94.92,68.7,54.6,63.7,6087,211800,3,8785,2286,72.76206,88.81501,42
